mysql> alter table payments add orderNumber int not null;
Query OK, 0 rows affected (0.67 sec)
Records: 0  Duplicates: 0  Warnings: 0

mysql> update payments set orderNumber = ( select orderNumber from orders order by rand() limit 1);
Query OK, 273 rows affected (0.46 sec)
Rows matched: 273  Changed: 273  Warnings: 0

mysql> alter table payments add constraint orderId foreign key(orderNumber) references orders(orderNumber);
Query OK, 273 rows affected (1.64 sec)
Records: 273  Duplicates: 0  Warnings: 0

mysql> select * from payments;
+----------------+-------------+-------------+-----------+-------------+
| customerNumber | checkNumber | paymentDate | amount    | orderNumber |
+----------------+-------------+-------------+-----------+-------------+
|            103 | HQ336336    | 2004-10-19  |   6066.78 |       10197 |
|            103 | JM555205    | 2003-06-05  |  14571.44 |       10174 |
|            103 | OM314933    | 2004-12-18  |   1676.14 |       10328 |
|            112 | BO864823    | 2004-12-17  |  14191.12 |       10185 |
|            112 | HQ55022     | 2003-06-06  |  32641.98 |       10324 |
|            112 | ND748579    | 2004-08-20  |  33347.88 |       10195 |
|            114 | GG31455     | 2003-05-20  |  45864.03 |       10340 |
|            114 | MA765515    | 2004-12-15  |  82261.22 |       10402 |
|            114 | NP603840    | 2003-05-31  |   7565.08 |       10320 |
|            114 | NR27552     | 2004-03-10  |  44894.74 |       10270 |
|            119 | DB933704    | 2004-11-14  |  19501.82 |       10281 |
|            119 | LN373447    | 2004-08-08  |  47924.19 |       10287 |
|            119 | NG94694     | 2005-02-22  |  49523.67 |       10294 |
|            121 | DB889831    | 2003-02-16  |  50218.95 |       10305 |
|            121 | FD317790    | 2003-10-28  |   1491.38 |       10412 |
|            121 | KI831359    | 2004-11-04  |  17876.32 |       10236 |
|            121 | MA302151    | 2004-11-28  |  34638.14 |       10113 |
|            124 | AE215433    | 2005-03-05  | 101244.59 |       10170 |
|            124 | BG255406    | 2004-08-28  |  85410.87 |       10269 |
|            124 | CQ287967    | 2003-04-11  |  11044.30 |       10155 |
|            124 | ET64396     | 2005-04-16  |  83598.04 |       10302 |
|            124 | HI366474    | 2004-12-27  |  47142.70 |       10231 |
|            124 | HR86578     | 2004-11-02  |  55639.66 |       10129 |
|            124 | KI131716    | 2003-08-15  | 111654.40 |       10266 |
|            124 | LF217299    | 2004-03-26  |  43369.30 |       10417 |
|            124 | NT141748    | 2003-11-25  |  45084.38 |       10398 |
|            128 | DI925118    | 2003-01-28  |  10549.01 |       10181 |
|            128 | FA465482    | 2003-10-18  |  24101.81 |       10122 |
|            128 | FH668230    | 2004-03-24  |  33820.62 |       10133 |
|            128 | IP383901    | 2004-11-18  |   7466.32 |       10354 |
|            129 | DM826140    | 2004-12-08  |  26248.78 |       10211 |
|            129 | ID449593    | 2003-12-11  |  23923.93 |       10301 |
|            129 | PI42991     | 2003-04-09  |  16537.85 |       10233 |
|            131 | CL442705    | 2003-03-12  |  22292.62 |       10257 |
|            131 | MA724562    | 2004-12-02  |  50025.35 |       10124 |
|            131 | NB445135    | 2004-09-11  |  35321.97 |       10416 |
|            141 | AU364101    | 2003-07-19  |  36251.03 |       10207 |
|            141 | DB583216    | 2004-11-01  |  36140.38 |       10243 |
|            141 | DL460618    | 2005-05-19  |  46895.48 |       10111 |
|            141 | HJ32686     | 2004-01-30  |  59830.55 |       10309 |
|            141 | ID10962     | 2004-12-31  | 116208.40 |       10319 |
|            141 | IN446258    | 2005-03-25  |  65071.26 |       10255 |
|            141 | JE105477    | 2005-03-18  | 120166.58 |       10406 |
|            141 | JN355280    | 2003-10-26  |  49539.37 |       10326 |
|            141 | JN722010    | 2003-02-25  |  40206.20 |       10279 |
|            141 | KT52578     | 2003-12-09  |  63843.55 |       10116 |
|            141 | MC46946     | 2004-07-09  |  35420.74 |       10124 |
